"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"116","-","ground","-","0.43, p < 0.0001","0.33, p < 0.0001",0.45,608.1,0
"33","GDVI2","ground","-0.14, p = 0.0351","0.49, p < 0.0001","0.36, p < 0.0001",0.46,609.265,1.16499999999996
"117","NDVI","ground","-0.11, p = 0.0997","0.47, p < 0.0001","0.37, p < 0.0001",0.45,610.916,2.81600000000003
"213","GNDVI","ground","-0.11, p = 0.1502","0.47, p < 0.0001","0.37, p < 0.0001",0.45,611.421,3.32100000000003
"143","REG.CI","ground","-0.10, p = 0.1584","0.48, p < 0.0001","0.37, p < 0.0001",0.45,611.476,3.37599999999998
"53","NIR","ground","-0.09, p = 0.2552","0.46, p < 0.0001","0.38, p < 0.0001",0.45,612.052,3.952
"73","REG","ground","-0.09, p = 0.2236","0.46, p < 0.0001","0.37, p < 0.0001",0.45,612.063,3.96299999999997
"133","GRE.CI","ground","-0.07, p = 0.1317","0.42, p < 0.0001","0.34, p < 0.0001",0.46,612.175,4.07499999999993
"123","NIR.CI","ground","-0.08, p = 0.3659","0.47, p < 0.0001","0.37, p < 0.0001",0.45,612.34,4.24000000000001
"118","RED.CI","ground","-0.06, p = 0.2350","0.40, p < 0.0001","0.33, p < 0.0001",0.45,612.718,4.61799999999994
"103","GDVI2.CI","ground","-0.03, p = 0.7398","0.45, p < 0.0001","0.33, p < 0.0001",0.45,613.075,4.97500000000002
"83","NDVI.CI","ground","0.00, p = 0.9694","0.43, p < 0.0001","0.33, p < 0.0001",0.45,613.085,4.98500000000001
"93","GNDVI.CI","ground","0.04, p = 0.6249","0.41, p < 0.0001","0.32, p < 0.0001",0.45,613.178,5.07799999999997
"43","RED","ground","0.05, p = 0.4077","0.44, p < 0.0001","0.34, p < 0.0001",0.45,613.397,5.29700000000003
"63","GRE","ground","-0.02, p = 0.6753","0.43, p < 0.0001","0.33, p < 0.0001",0.45,614.146,6.04599999999994
"110","-","ground","-","0.62, p < 0.0001","-",0.38,631.169,23.069
"111","-","-","-","-","0.62, p < 0.0001",0.38,631.169,23.069
"51","NIR","ground","0.15, p = 0.0257","0.53, p < 0.0001","-",0.39,631.75,23.65
"121","NIR.CI","ground","0.16, p = 0.0320","0.50, p < 0.0001","-",0.39,631.864,23.764
"91","GNDVI.CI","ground","0.14, p = 0.0618","0.52, p < 0.0001","-",0.39,632.956,24.856
"81","NDVI.CI","ground","0.13, p = 0.1435","0.52, p < 0.0001","-",0.39,633.985,25.885
"71","REG","ground","0.11, p = 0.0985","0.56, p < 0.0001","-",0.39,634.065,25.965
"112","RED.CI","ground","-0.08, p = 0.1786","0.59, p < 0.0001","-",0.39,635.26,27.16
"141","REG.CI","ground","0.07, p = 0.2910","0.57, p < 0.0001","-",0.38,635.516,27.4159999999999
"210","GNDVI","ground","0.07, p = 0.3183","0.58, p < 0.0001","-",0.38,635.656,27.5559999999999
"101","GDVI2.CI","ground","0.02, p = 0.8489","0.61, p < 0.0001","-",0.38,636.115,28.015
"31","GDVI2","ground","-0.04, p = 0.5205","0.65, p < 0.0001","-",0.38,636.321,28.221
"131","GRE.CI","ground","-0.05, p = 0.3239","0.62, p < 0.0001","-",0.38,636.33,28.23
"113","NDVI","ground","0.03, p = 0.6771","0.61, p < 0.0001","-",0.38,636.552,28.452
"41","RED","ground","0.01, p = 0.8138","0.63, p < 0.0001","-",0.38,636.995,28.895
"61","GRE","ground","0.01, p = 0.7781","0.62, p < 0.0001","-",0.38,637.215,29.115
"241","GDVI2.CI","drone","0.25, p < 0.0001","0.15, p = 0.0093","0.37, p < 0.0001",0.41,639.78,31.6799999999999
"82","NDVI.CI","-","0.32, p < 0.0001","-","0.39, p < 0.0001",0.4,639.869,31.769
"221","NDVI.CI","drone","0.27, p = 1e-04","0.14, p = 0.0187","0.35, p < 0.0001",0.41,640.121,32.021
"231","GNDVI.CI","drone","0.26, p = 1e-04","0.17, p = 0.0043","0.35, p < 0.0001",0.41,640.242,32.1419999999999
"102","GDVI2.CI","-","0.29, p < 0.0001","-","0.44, p < 0.0001",0.4,640.752,32.6519999999999
"92","GNDVI.CI","-","0.29, p < 0.0001","-","0.42, p < 0.0001",0.4,642.601,34.501
"251","RED.CI","drone","-0.17, p = 0.0011","0.21, p = 5e-04","0.43, p < 0.0001",0.41,646.456,38.356
"212","-","drone","-","0.21, p = 3e-04","0.48, p < 0.0001",0.38,651.036,42.9359999999999
"261","NIR.CI","drone","0.17, p = 0.0325","0.17, p = 0.0071","0.38, p < 0.0001",0.38,651.74,43.64
"271","GRE.CI","drone","-0.12, p = 0.0190","0.23, p = 1e-04","0.48, p < 0.0001",0.4,651.863,43.763
"171","GDVI2","drone","-0.16, p = 0.0606","0.33, p = 1e-04","0.50, p < 0.0001",0.39,652.598,44.4979999999999
"114","RED.CI","-","-0.18, p = 7e-04","-","0.54, p < 0.0001",0.38,652.816,44.716
"122","NIR.CI","-","0.24, p = 0.0014","-","0.41, p < 0.0001",0.37,653.311,45.211
"151","NDVI","drone","-0.11, p = 0.2061","0.29, p = 5e-04","0.51, p < 0.0001",0.38,654.492,46.3919999999999
"281","REG.CI","drone","0.08, p = 0.2950","0.19, p = 0.0034","0.44, p < 0.0001",0.38,655.348,47.2479999999999
"161","GNDVI","drone","-0.04, p = 0.6257","0.24, p = 0.0028","0.50, p < 0.0001",0.38,655.786,47.6859999999999
"191","NIR","drone","-0.02, p = 0.8467","0.22, p = 0.0016","0.49, p < 0.0001",0.38,655.999,47.899
"214","REG","drone","-0.02, p = 0.8008","0.22, p = 0.0012","0.49, p < 0.0001",0.38,656.194,48.0939999999999
"181","RED","drone","0.04, p = 0.4666","0.24, p = 5e-04","0.48, p < 0.0001",0.38,656.3,48.1999999999999
"201","GRE","drone","-0.03, p = 0.5454","0.21, p = 4e-04","0.49, p < 0.0001",0.38,656.817,48.717
"142","REG.CI","-","0.16, p = 0.0211","-","0.49, p < 0.0001",0.36,658.331,50.231
"211","GNDVI","-","0.14, p = 0.0408","-","0.50, p < 0.0001",0.36,659.521,51.4209999999999
"22","NDVI.CI","drone","0.44, p < 0.0001","0.24, p = 1e-04","-",0.35,660.25,52.15
"52","NIR","-","0.13, p = 0.0888","-","0.49, p < 0.0001",0.35,660.52,52.42
"132","GRE.CI","-","-0.10, p = 0.0587","-","0.60, p < 0.0001",0.36,660.804,52.704
"23","GNDVI.CI","drone","0.41, p < 0.0001","0.28, p < 0.0001","-",0.35,660.856,52.756
"72","REG","-","0.11, p = 0.1199","-","0.52, p < 0.0001",0.35,661.18,53.0799999999999
"115","NDVI","-","0.10, p = 0.1231","-","0.54, p < 0.0001",0.35,661.418,53.318
"32","GDVI2","-","0.08, p = 0.1891","-","0.55, p < 0.0001",0.35,662.198,54.098
"42","RED","-","-0.06, p = 0.2681","-","0.58, p < 0.0001",0.35,662.938,54.838
"62","GRE","-","-0.04, p = 0.4453","-","0.60, p < 0.0001",0.35,663.674,55.574
"24","GDVI2.CI","drone","0.39, p < 0.0001","0.29, p < 0.0001","-",0.33,666.792,58.692
"8","NDVI.CI","-","0.57, p < 0.0001","-","-",0.32,669.496,61.396
"26","NIR.CI","drone","0.41, p < 0.0001","0.22, p = 5e-04","-",0.33,669.655,61.5549999999999
"12","NIR.CI","-","0.55, p < 0.0001","-","-",0.29,676.085,67.985
"9","GNDVI.CI","-","0.54, p < 0.0001","-","-",0.29,678.364,70.264
"10","GDVI2.CI","-","0.53, p < 0.0001","-","-",0.28,684.171,76.071
"28","REG.CI","drone","0.31, p < 0.0001","0.28, p < 0.0001","-",0.28,686.558,78.458
"25","RED.CI","drone","-0.26, p < 0.0001","0.41, p < 0.0001","-",0.28,687.168,79.068
"19","NIR","drone","0.34, p < 0.0001","0.23, p = 0.0020","-",0.27,687.73,79.63
"5","NIR","-","0.50, p < 0.0001","-","-",0.25,691.961,83.861
"21","REG","drone","0.27, p = 2e-04","0.28, p = 2e-04","-",0.26,693.852,85.752
"14","REG.CI","-","0.48, p < 0.0001","-","-",0.23,698.048,89.948
"16","GNDVI","drone","0.25, p = 0.0039","0.27, p = 0.0025","-",0.24,698.781,90.6809999999999
"29","-","drone","-","0.47, p < 0.0001","-",0.22,702.116,94.016
"7","REG","-","0.46, p < 0.0001","-","-",0.22,702.685,94.5849999999999
"2","GNDVI","-","0.46, p < 0.0001","-","-",0.22,702.957,94.857
"27","GRE.CI","drone","-0.12, p = 0.0338","0.48, p < 0.0001","-",0.23,703.507,95.4069999999999
"15","NDVI","drone","0.13, p = 0.1494","0.36, p = 1e-04","-",0.22,705.003,96.903
"17","GDVI2","drone","-0.02, p = 0.8329","0.48, p < 0.0001","-",0.22,706.975,98.875
"18","RED","drone","0.03, p = 0.6909","0.48, p < 0.0001","-",0.22,707.52,99.42
"20","GRE","drone","0.02, p = 0.6655","0.47, p < 0.0001","-",0.22,707.852,99.752
"1","NDVI","-","0.42, p < 0.0001","-","-",0.17,716.06,107.96
"3","GDVI2","-","0.37, p < 0.0001","-","-",0.13,727.42,119.32
"11","RED.CI","-","-0.35, p < 0.0001","-","-",0.13,732.436,124.336
"4","RED","-","-0.24, p = 1e-04","-","-",0.06,748.797,140.697
"13","GRE.CI","-","-0.07, p = 0.2675","-","-",0.01,762.697,154.597
"6","GRE","-","0.03, p = 0.6113","-","-",0,763.654,155.554
